Time Interval,Left Hand X,Left Hand Y,Left Hand Z,Right Hand X,Right Hand Y,Right Hand Z,Left Wrist X,Left Wrist Y,Left Wrist Z,Right Wrist X,Right Wrist Y,Right Wrist Z,Left Elbow X,Left Elbow Y,Left Elbow Z,Right Elbow X,Right Elbow Y,Right Elbow Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder X,Right Shoulder Y,Right Shoulder Z,Center Shoulder X,Center Shoulder Y,Center Shoulder Z,Head X,Head Y,Head Z
332543711,-0.08,-0.46,1.36,0.32,-0.47,1.37,-0.10,-0.39,1.39,0.34,-0.41,1.40,-0.16,-0.21,1.48,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332543743,-0.04,-0.52,1.31,0.32,-0.47,1.37,-0.07,-0.44,1.35,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332543779,-0.04,-0.52,1.31,0.32,-0.47,1.37,-0.07,-0.44,1.35,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332543811,-0.04,-0.52,1.31,0.32,-0.47,1.37,-0.07,-0.44,1.35,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332543843,-0.08,-0.46,1.36,0.32,-0.47,1.37,-0.10,-0.40,1.39,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332543879,-0.08,-0.46,1.36,0.32,-0.47,1.37,-0.10,-0.40,1.39,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332543911,-0.09,-0.46,1.37,0.32,-0.47,1.37,-0.11,-0.39,1.40,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332543943,-0.09,-0.46,1.37,0.32,-0.47,1.37,-0.11,-0.39,1.40,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332543979,-0.09,-0.46,1.37,0.32,-0.47,1.37,-0.11,-0.39,1.40,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332544011,-0.14,-0.45,1.39,0.32,-0.47,1.37,-0.11,-0.39,1.40,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.51,0.13,0.14,1.52,0.14,0.34,1.50,
332544043,-0.08,-0.46,1.36,0.32,-0.47,1.37,-0.10,-0.39,1.39,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.51,0.13,0.14,1.52,0.14,0.34,1.50,
332544079,-0.08,-0.46,1.36,0.32,-0.47,1.37,-0.10,-0.40,1.39,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332544111,-0.04,-0.52,1.31,0.32,-0.47,1.37,-0.07,-0.44,1.35,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332544143,-0.04,-0.52,1.31,0.32,-0.47,1.37,-0.07,-0.44,1.35,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332544179,-0.04,-0.52,1.31,0.32,-0.47,1.37,-0.07,-0.44,1.35,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332544211,-0.08,-0.46,1.36,0.32,-0.47,1.37,-0.10,-0.40,1.39,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.51,0.13,0.14,1.52,0.14,0.34,1.50,
332544243,-0.08,-0.47,1.36,0.32,-0.48,1.37,-0.10,-0.40,1.39,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.51,0.13,0.14,1.52,0.14,0.34,1.50,
332544279,-0.09,-0.46,1.37,0.32,-0.48,1.37,-0.11,-0.39,1.40,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.51,0.13,0.14,1.52,0.14,0.34,1.50,
332544311,-0.09,-0.45,1.37,0.32,-0.48,1.37,-0.10,-0.39,1.40,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.52,0.13,0.14,1.52,0.14,0.34,1.50,
332544343,-0.09,-0.45,1.37,0.32,-0.48,1.37,-0.10,-0.39,1.40,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.52,0.13,0.14,1.52,0.14,0.34,1.50,
332544379,-0.09,-0.45,1.37,0.32,-0.48,1.37,-0.11,-0.39,1.40,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.49,-0.06,0.01,1.50,0.32,0.01,1.52,0.13,0.14,1.52,0.14,0.34,1.50,
332544411,-0.16,-0.44,1.40,0.32,-0.48,1.37,-0.11,-0.39,1.40,0.34,-0.41,1.40,-0.16,-0.21,1.49,0.40,-0.23,1.50,-0.06,0.01,1.50,0.32,0.01,1.52,0.13,0.14,1.52,0.14,0.34,1.50,
